label,text
negative,Getty ImagesNEW DELHI Fertilisers stocks were trading lower on Thursday at AM    KRISHANAup  Deepak Fertilizers  Petrochemicalsup  Khaitan Chemicals  Fertilizersup  Mangalore Chemicals  Fertilizersup  Chambal Fertilisers  Chemicalsup  Fertilizers  Chemicals Tranvancoreup  and Aries Agroup  were among the top gainers    Southern Petrochemicals Industriesdown  Nagarjuna Fertilizers  Chemdown  ZUARIAGROdown  Agro Phosdown  Coromandel Internationaldown  G S F Cdown  Gujarat Narmada Valley Fertilizers down  Madhya Bharat Agro Productsdown  Madras Fertlizersdown  and National Fertilizerdown  were among the top losers    The NSE Nifty index was trading  points down at  while the share BSE Sensex was up  points at  at around AM    Reliance Industriesup  Bharat Petroleum Corporationup  Bajaj Finservup  Coal Indiaup  Tata Consultancyup  Infosysup  Mahindra  Mahindraup  Ciplaup  Sun Pharmaceutical Industriesup  and Wiproup  were among the top gainers in the Nifty pack    On the other hand Apollo Hospitals Enterprisesdown  Hero MotoCorpdown  SBI Lifedown  Hindustan Unileverdown  HDFCdown  Shree Cementdown  Power Grid Corporation of Indiadown  JSW Steeldown  Grasim Industriesdown  and TATA CONSUMER PRODUCTSdown  were trading in the re
positive,Promoters held  per cent stake in the company as of Dec while FIIs owned  per cent DIIs  per centRelatedBuy Gujarat Pipavav Port target price Rs   ICICI Direct Buy DLF target price Rs   ICICI Direct ICICI Direct has buy call on Larsen  Toubro with a target price of Rs  The current market price of Larsen  Toubro is Rs  Time period given by analyst is one year when Larsen  Toubro Ltd price can reach defined target   Larsen  Toubro Ltd incorporated in the year  is a Large Cap company having a market cap of Rs  Crore operating in Construction sector    Larsen  Toubro Ltd key ProductsRevenue Segments include Income From Construction Work Income from Manufacturing and Trading Activities Other Operating Revenue Other Services Commission Service Engineering Lease Rentals and Property Development for the year ending Mar  ETMarkets Smart Talk Srikanth Subramanian decodes factors that could derail momentum on DSt    Financials  For the quarter ended  the company reported a Consolidated Total Income of Rs  Crore up   from last quarter Total Income of Rs  Crore and up   from last year same quarter Total Income of Rs  Crore Company reported net profit after tax of Rs  Crore in latest quarter  MORE STORIES FOR YOUœBuy Gujarat Pipavav Port target price Rs   ICICI Direct Buy DLF target price Rs   ICICI Direct Â Back to recommendation storiesI dont want to see these stories becauseThey are not relevant to meThey disrupt the reading flowOthersSUBMIT  Investment RationaleDuring QFYE EPC order inflows announced by LT are in the range of Rs  crore as on date exservices segment across railway hydrocarbon power TD water treatment heavy engineering buildings  factories segments indicating decent order inflows for the quarter amid challenging environment It expects decent execution pickup YoY Working capital and cash flow management will be key monitorables Consequently it expects adjusted standalone revenue to grow  to Rs  crore EBITDA is expected to grow  to Rs  crore with margins expected to be flattish  owing to better execution and adjusted PAT exEA expected to grow  to Rs  crore partly aided by lower interest expense and lower tax    PromoterFII Holdings  Promoters held  per cent stake in the company as of Dec while FIIs owned  per cent DIIs  per cent Disclaimer Recommendations given in this section or any reports attached herein are authored by an external party Views expressed are that of the respective authorsentities These do not represent the views of Economic Times ET ET does not guarantee vouch for endorse any of its contents and hereby disclaims all warranties express or implied relating to the same  Please consult your financial adviser and seek independent advi
positive,Getty ImagesHDFC Capitals target is to finance the development of one million affordable homes in India through a combination of innovative financing partnerships and technology focusing on sustainabilityMumbai Mortgage lender Housing Development Finance Corporations HDFC private equity real estate arm HDFC Capital Advisors and engineering major Larsen  Toubros property development company LT Realty are in advanced talks to set up a  crore residential development and investment platform persons with direct knowledge of the development said  The joint platform is to be structured as an Alternative Investment Fund AIF and will invest in midmarket residential projects across the country  Both HDFC Capital Advisors and LT Realty will be infusing equity into this platform and the developer will be responsible for the execution of the projects in which the joint entity will be making investments Chart Check  rally from June lows GMM Pfaudler can hit record highs post range breakout  The discussion is at an advanced stage and a call on quantum of respective equity infusion by both HDFC Capital and LT Realty is likely to be taken soon said one of the persons mentioned above  The investment platform will be raising the fund from markets after factoring in the exact equity infusion by HDFC Capital and LT Realty  ET has already reported HDFC Capitals plan to invest around  billion in affordable housing having secured the first close for a fund thats one of the worlds largest for residential property investments  The fund HDFC Capital Affordable Real Estate Fund HCARE had already garnered  billion by midJanuary with the primary investor being a whollyowned unit of the Abu Dhabi Investment Authority ADIA   The total corpus of the HCARE will be close to  billion including potential reinvestments  HCARE is the third fund raised from HDFC Capital The funds raised so far  HDFC Capital Affordable Real Estate Funds      raised in  and  totalled  billion  Through these funds it has formed joint ventures and alliances and has invested in developers including Runwal Group Rustomjee Group Shapoorji Pallonji Real Estate Prestige Group Arvind Smart Spaces and Ambuja Neotia  ETs email queries to HDFC Capital and LT Realty remained unanswered until Sunday press time  HDFC Capitals target is to finance the development of one million affordable homes in India through a combination of innovative financing partnerships and technology focusing on sustainability  The funds raised from HCARE will be committed toward investments over the next  years with a projected development footprint estimated at  million sq ft across affordable and midincome residential projects in Indias leading cities  The primary focus of these funds will be to provide longterm flexible debt across the lifecycle of real estate projects including land approval and lastmile funding for the development of affordable and midincome housing across India
negative,ReutersNifty continues to climb a wall of worry as it looks to be in the final leg of its rally before heading for a correctionNEW DELHI Sugar stocks were trading higher on Monday at AM    MAGADHSUGARup  Mawana Sugarsup  Uttam Sugar Millsup  Shree Renuka Sugarsup  Ugar Sugar Worksup  DCM Shriram Industriesup  Simbhaoli Sugarsup  Rana Sugarsup  AVADHSUGARup  and EID Parryup  were among the top gainers    were among the top losers    The NSE Nifty index was trading  points down at  while the share BSE Sensex was down  points at  at around AM    NTPCup  Tata Steelup  SBI Lifeup  Coal Indiaup  Oil  Natural Gas Corporationup  Divis Laboratoriesup  Bajaj Autoup  HDFC LIFE INSURANCEup  JSW Steelup  and Hindustan Unileverup  were among the top gainers in the Nifty pack    On the other hand Infosysdown  Tech Mahindradown  HDFCdown  HDFC Bankdown  Wiprodown  Tata Consultancydown  Larsen  Toubrodown  UPL Ltddown  Apollo Hospitals Enterprisesdown  and Bajaj Finservdown  were trading in the red 
positive,Getty ImagesAgainst the issue price of Rs  shares of eMudhra listed at a premium of  per cent at Rs  on BSE and a premium of  per cent at Rs  on the National Stock Exchange NSERelatedStocks in the news eMudhra Bharat Dynamics HFCL GOCL Corp and BataDStreet debut eMudhra lists at  premium on BSEeMudhra to have a soft debut on Dalal Street Heres what grey market is signalingContrary to market expectations eMudhra debuted on a positive note in Wednesdays trade That said the gains were capped in the counter  Against the issue price of Rs  shares of eMudhra listed at a premium of  per cent at Rs  on BSE and a premium of  per cent at Rs  on the National Stock Exchange NSE  Post the listing eMudhra extended its total gains to per cent over the issue price to hit Rs  on BSE However the counter saw profit booking resulting in fizzling out of euphoria The stock was last hovering around its issue price  Market analysts said the companys positive listing can be attributed to improved market conditions good prospects and reasonably fair responses from retail investors and institutional bidders  However the majority of them suggested investors to book profit in the company after decent listing pop and wait for a correction to make a fresh entry citing rich valuations MORE STORIES FOR YOUœStocks in the news eMudhra Bharat Dynamics HFCL GOCL Corp and BataDStreet debut eMudhra lists at  premium on BSEeMudhra to have a soft debut on Dalal Street Heres what grey market is signalingÂ Back to recommendation storiesI dont want to see these stories becauseThey are not relevant to meThey disrupt the reading flowOthersSUBMIT Santosh Meena Head of Research Swastika Investmart said that rich pricing of the issue makes it suitable for longterm investors post listing Those who applied for listing gains can maintain a stop loss of Rs  he added  eMudhra raised Rs  crore through its primary offering The issue ran between May   The issue was overall subscribed  times thanks to strong bidding from qualified institutional buyers whose quota fetched  times bids HNI and retail investor portions were subscribed  and  times respectively  Ajit Mishra VP Research Religare Broking said despite being a niche player with no comparable listed peers in the market the company is richly valued  It will be prudent if investors book profits at current levels and wait for a decent correction to make fresh buys as the current valuations are not justified for the longterm  eMudhra has an established position as a licensed certifying authority with a strong network of channel partners The companys business is divided into two vertices  digital trust services and enterprise solutions  eMudhra has strong digital signature certificate expertise and is the only Indian company to be directly recognised by renowned browsers and document processing software companies such as Microsoft Mozilla Apple and Adobe  Astha Jain Senior Research Analyst Hem Securities said those who applied purely for the listing pop can exit the counter and book profits  However if someone has a longterm horizon they can continue to hold it considering the niche nature of the business she added   Disclaimer Recommendations suggestions views and opinions given by the experts are their own These do not represent the views of Economic Times 
positive,ShutterstockcomIndia year bond yield jumped  per cent to  after trading in    rangeShares of Cholamandalam Investment  Finance Company Ltd gained  per cent to Rs  in Thursdays trade as of AM IST It hit a high of Rs  and low of Rs  during the session    The stock quoted a week high price of Rs  and a low of Rs  The return on equity for the stock stood at  per cent About  shares have changed hands on the counter so far    The stocks beta value which measures its volatility in relation to the broader market stood at   ETMarkets Smart Talk Indias investable landscape wider than other EMs despite premium valuations Piyush Sharma  The scrip has been an outperformer up  per cent in the past one year in comparison with a  per cent gain in Sensex    Technicals  On the technical charts the day moving average DMA of the stock stood at Rs  on June  while the DMA was at Rs  If a stock trades well above DMA and DMA it usually means the immediate trend is upward On the other hand if the stock trades well below DMA and DMA both it is considered a bearish trend and if trades between these averages then it suggests the stock can go either way     PromoterFII Holding   Promoters held  per cent stake in Cholamandalam Investment  Finance Company Ltd as of Mar Mutual funds and foreign institutional investors held  per cent and  per cent stak
negative,Getty ImagesIndia year bond yield rose  per cent to  after trading in  rangeShares of Adani Enterprises Ltd traded  per cent down at Rs  at PM IST on Wednesday even as BSE benchmark Sensex gained  points to  The scrip had closed at Rs  in the previous session    The stock quoted a week high and week low of Rs  and Rs  respectively    As per BSE data total traded volume on the counter till PM IST stood at PM shares with turnover at Rs  crore  ETMarkets Smart Talk Indias investable landscape wider than other EMs despite premium valuations Piyush Sharma  At the current price shares of the company trades at  times its trailing month earnings per share of Rs  per share and  times its pricetobook value BSE data showed    A higher PE ratio shows investors are willing to pay a higher share price today because of growth expectations in the future Pricetobook value indicates the inherent value of a company and is the measure of the price that investors are ready to pay even for no growth in the business    The Beta value of the stock which measures its volatility in relation to the broader market stood at     Shareholding Details  Promoters held  per cent stake in the company as of Mar while FIIs owned  per cent and DIIs  per cen
positive,AgenciesRepresentative ImageNEW DELHI Man Industries India a smallcap company that makes large diameter pipes has announced that it has bagged a new order worth approximately Rs  crore from Indian Oil Corporation IOCL  The company has been contracted to supply API High Grade Large Diameter Carbon steel pipes along with coating for the Oil  Gas sector  With this recent announcement the unexecuted order book for Man Industries now stands at approximately Rs  crore which is to be executed in six to eight months  The stock rose about  per cent after the company disclosed the contract The market cap of the company is Rs  crore as of last trade on BSE  The company in a press statement said it holds an impeccable track record of uninterrupted profitability dividend and meeting all its financial commitments in the challenging and growing business environment     
positive,ETMarketscomThe Indian market closed in the red for the second consecutive day in a row on Wednesday The SP BSE Sensex fell by nearly  points while the Nifty managed to close above  levels  Sectorally buying was seen in capital goods industrials metals banks and public sector stocks while selling was visible in power utilities healthcare and realty  Stocks that were in focus include names like Bajaj Auto which fell nearly  per cent Hindustan Aeronautics which hit a fresh week high and Happiest Minds Technologies which rallied more than  per cent on Wednesday   Heres what Vijay Dhanotiya Lead Technical Research at CapitalVia Global Research recommends investors should do with these stocks when the market resumes trading today  Bajaj Auto BuyBajaj Auto might have fallen but the momentum oscillators conditional to bullish market continuation is still intact The twowheeler maker remains a good buy on dips around Rs  level  Moving average indicator and day EMA make it a strong buy in the short term Bajaj Auto has also shown a rise in monthly sales numbers for May which highlights a revival in the auto sector   HAL BuyAfter the quarterly result HAL is giving fantastic movement It has already broken the key level of Rs  The company reported strong results for the quarter ended March  On Wednesday it rose by about  per cent and in the upcoming trading sessions we can expect further upside movement  There is a major psychological level of Rs  which it can test in the upcoming days On the downside a level of Rs  can act as a support level   Happiest Minds BuyThere was an excellent swing in Happiest Minds in the last  trading sessions Since July  we saw an almost  price correction in the stock  However considering global IT tech socks there was a good recovery in Indian midcap stocks as well and Happiest mind was one of them  On Wednesday we saw a  per cent jump in the stock Although it is trading near its resistance level but if it sustains above the level of Rs  then we can expect the levels of Rs    Disclaimer Recommendations suggestions views and opinions given by the experts are their own These do not represent the views of Economic Times 
negative,Getty ImagesShares of Adani Green Energy Ltd traded  per cent down at Rs  at AM IST on Wednesday even as BSE benchmark Sensex gained  points to     The scrip had closed at Rs  in the previous session The stock quoted a week high price of Rs  and week low of Rs  respectively As per BSE data total traded volume on the counter till AM IST stood at  shares with a turnover of Rs  crore    At the current price shares of the company traded at  times its trailing month earnings per share of Rs  per share and  times its pricetobook value BSE data showed  ETMarkets Smart Talk Srikanth Subramanian decodes factors that could derail momentum on DSt  A higher PE ratio shows investors are willing to pay a higher share price today because of growth expectations in the future    Pricetobook value indicates the inherent value of a company and reflects the price investors are ready to pay even for no growth in the business The stocks Beta value which measures its volatility in relation to the broader market stood at     Shareholding Details    Promoters held  per cent stake in the company as of Mar while FIIs owned  per cent and DIIs  per cent    Technicals  On the technical charts the relative strength index RSI of the stock stood at  The RSI oscillates between zero and  Traditionally it is considered overbought condition when the RSI value is above  and oversold condition when it is below  Chartists say RSI should not be seen in isolation as it may not be sufficient to take a trading call just the way fundamental analysts cannot give abuy orsell recommendation using a single valuation ratio
negative,Getty ImagesNagaraj Shetti Technical Research Analyst at HDFC Securities believes Mondays pattern could be considered as a High Wave which reflects high volatility in the market at swing highsNEW DELHI Solara Active Pharma Zee Learn Innovative Tyres  T Seya Industries and Future Retail and others were among the stocks that touched their week lows as of AMISTin Mondays session    Domestic benchmark index NSE Nifty fell  points to  while the BSE Sensex traded  points down at     On the other hand De Nora India Kritika Wires GHCL Vadilal Ind and Beta Drugs stocks hit their fresh week highs today    In the Nifty  index IndusInd Bank BPCL Power Grid HDFC and UPL were among the top gainers on the NSE    Apollo Hospital Wipro Eicher Motors SBI Life and Asian Paints were among the top losers    
positive,AgenciesIndia year bond yield rose  per cent to  after trading in  rangeShares of Avenue Supermarts Ltd traded  per cent up at Rs  at PM IST on Wednesday even as BSE benchmark Sensex dropped  points to  The stock had settled at Rs  in the previous session    The stock quoted a week high and week low of Rs  and Rs  respectively    As per BSE data total traded volume on the counter till PM IST stood at PM shares with turnover at Rs  crore  ETMarkets Smart Talk Indias investable landscape wider than other EMs despite premium valuations Piyush Sharma  At the current price shares of the company trades at  times its trailing month EPS of Rs  per share and  times its pricetobook value BSE data showed    A higher PE ratio shows investors are willing to pay a higher share price today because of growth expectations in the future Pricetobook value indicates the inherent value of a company and is the measure of the price that investors are ready to pay even for no growth in the business    The Beta value of the stock which measures its volatility in relation to the broader market stood at     Shareholding Details  Promoters held  per cent stake in the company as of Mar while FIIs owned  per cent and DIIs  per cen
positive,Getty ImagesIndia year bond yield declined  per cent to  after trading in   rangeINSIGHTS      	                    Read Stock Insights by ET for a quick analysis     	                NSEBSEShreeshay Engineers LtdPEER COMPANIESExplore NowNEW DELHI Several stocks plunged in excess of  per cent in Mumbai trading on Tuesday even as equity benchmark BSE Sensex traded  points up at  amid brisk buying in frontline bluechip counters    On the BSE DRA Consultantsdown  per cent VSF Projectsdown  per cent Glittek Granitedown  per cent V R Films  Studiosdown  per cent and Salora Intnldown  per cent stood among the top losers in todays trade    In the Nifty pack  stocks closed in the green while  stocks ended in the red    The index closed  points up at     On the BSE Salora Intnl Mukesh Babu Fin GalaxyCloudKitchen SoftTech Engineers and Pioneer Invest hit their fresh week lows while RO Jewels Shreeshay Engineers Gala Global Prod Nintec Systems Ltd and Akshar Spintex touched their fresh week highs in todays trade
negative,Getty ImagesShrikant Chouhan of Kotak Securities said Nifty topping the  mark was completely unexpectedShares of the Au Small Finance Bank Ltd traded at Rs  on BSE at PM IST on Thursday down  per cent from previous close    The scrip quoted a week low price of Rs  and a high of Rs     Earlier shares of the company saw a gap down opening in the morning  ETMarkets Smart Talk Why this fund manager is happy to watch rally in Adani stocks from sidelines  A total of  lakh shares changed hands on the counter till PM IST    The stock of Au Small Finance Bank Ltd commands a market value of Rs  crore    The stock traded at a pricetoearning PE multiple of  while the pricetobook value ratio stood at  Return on equity ROE was at  per cent according to exchange data    In the BSE pack  stocks traded in the green while  stocks were in the red     Promotor Holding  Promoters held  per cent in the Au Small Finance Bank Ltd as of Mar while overseas and domestic institutional investors owned  per cent and  per cent respectively 
positive,AgenciesMazhar Mohammad of Chartviewindiain said technical indicators are turning mixed as the weekly MACD chart has generated a buy signal giving an edge to the bullsNEW DELHI Shares of Lancer Container Lin Dhanvarsha Finvest Global Education National Highways In and Madhya Bharat Agro hit their fresh week highs at AMISTon NSE    Benchmark NSE Nifty index rose  points to  amid buying in frontline bluechip stocks    However stocks such as Rainbow Childrens Medicare Ltd Indostar Cap Fin Karda Const Future Retail and Future Enterprises DVR touched their fresh week low    Overall  shares traded in the green in Nifty index while  traded in the red    In the Nifty  index Bharti Airtel UltraTech Cem HUL Bajaj Auto and Eicher Motors were among top gainers while ONGC Apollo Hospital Tata Steel Titan Company and Coal India Ltd traded in the red    The BSE Sensex was trading  points up at  at AMIST    Traders were seen piling up positions in Telecommunications Fertilisers Packaging Auto and Learning  Education sectors while selling was visible in Tourism  Hospitality Agro Processing Media  Entertainment Apparels and Retail sectors    
positive,ANIMumbai It is said that too much money chasing too few goods is inflationary But that may be only partially true Empirical results of a study by economists at the Reserve Bank of India RBI suggest that money growth does not pose risks to inflation in the presence of economic slack  When the economy is in an expansionary phase however an increase in money supply can cause higher inflation implying that monetary accommodation during Covid by the central bank needs to be reversed once the economy gets back to its normal path of growth  Well known economist and Nobel Laureate Milton Friedmans theory which guided monetary policy through the world in the second half of twentieth century said that inflation is a monetary phenomenon and it occurs when too much money chases too few goods Excess money creation or unrestrained expansion in the balance sheet size of a central bank accordingly has been cited as the prime driver of inflation  But that is changing since the turn of the twentieth century across the globe and the link between money supply and inflation is weakening  even in India Empirical results suggest that money growth does not pose risks to inflation during an economic slack When the economy is in an expansionary phase however an increase in money supply can cause higher inflation said a research paper carried in the latest RBI bulletin  The authors are Sitikantha Pattanaik Binod B Bhoi and Harendra Kumar Behera from the Department of Economic and Policy Research The results of the research are that of the authors from the RBIs economic research department and do not reflect the views of the RBI itself  Empirical findings for India suggest that excess liquidity that does not lead to higher broad money growth is not inflationary the authors said Only a robust pickup in demand that can absorb the surplus liquidity in the system could be inflationary  The research assumes significance as central banks across the globe that were in quantitative easing mode post global financial crisis in  and went on aggressively expanding their balance sheets are now going for quantitative tightening Back home in India the RBI is being criticised for falling behind the curve in its inflation fight  The authors say that higher money growth may counterbalance the contractionary impact of the velocity shock rather than pose risks to inflation Also Friedmans theory is increasingly less likely to hold in the age of financial innovations rising digital noncash modes of payments for transactions and also in view of the emergence of FinTech for financial intermediation  
positive,Vivek SharmaDirector Strategy Estee AdvisorsSharma has over  years experience in trading portfolio and investment management He has been instrumental in creating quantitative marketneutral strategies in India US Brazil and Korea In his previous role he was Head of Energy Trading at Futures First At present he is Director strategy at Estee Advisors and head of investments at Gulaq a part of Estee GroupInvesting in the stock market is becoming luring for people Many of us think of it as a tool to get quickly rich What investors lack is discipline and patience to stay in the market for the long term  To stay invested for a longer tenure one needs to understand the right way of observing the market  The market is no easy play as not everything you see may be correct and vice versa ETMarkets Smart Talk Srikanth Subramanian decodes factors that could derail momentum on DSt  The correct way to look at the market returns We usually look at average historical returns as a primary activity before investing This way of finding better avenues to invest is not totally correct It doesnt consider every factor about the returns thus may give an incorrect picture  Looking only at the average market returns at a particular point in time may give a biased result You may end up having too high or too low expectations Over a period of time stock prices show volatility  One of the ways to look at the market returns with accuracy is Rolling returns Rolling returns guide investors on the range of returns that are expected showing the highest return lowest return and average return for a given time period  Lets understand the concept of Rolling returns by the following example  Looking at the image below if you consider the period of one year beginning from January  to December  the market gave a return of  in the year  Instead an investor started investing in February  his return was  at the end of one year in January  Someone lucky might have started investing in March  and completed one year in February  with a return of   Thus these different oneyear periods show the series of possible market returns in a year   ET CONTRIBUTORS Looking only at the average returns may prove to be misguiding for the investors The whole picture may differ For example the Nifty  gave a  average market return for the last five years  This does not give the whole picture of an investor who has  years investment horizon Another noteworthy thing is the highest return for five years was  and the lowest return for the five years was   Apparently the time period of above five years has the lowest return in a positive number Therefore it is evident that the larger the time frame the higher the possibility of positive returns and a low risk of losing capital  Defining tenure can be a subjective term for investing but one can follow this general definition to understand the difference   What do Longterm investing and Shortterm investing mean Generally Longterm investing means staying invested in any financial asset for more than one year On the other hand shortterm investing means staying invested in the same financial asset for a period of lesser than one year Though these definitions are only correct from a taxation perspective  Individual definitions of long term and short term may differ for all of us For some it may be just a year but for others the long term can be  years   ET CONTRIBUTORS Looking at the above chart we can see that there are almost  chance of positive returns if one stays invested for at least  years Hence when thinking about investing for long term one should have minimum time horizon of  years though more the better   Why Longterm investing is a better option   Less timeconsuming One of the major benefits of investing for the longterm is you do not need to constantly monitor your investment In shortterm investing you constantly need to monitor the price movements This requires more time and huge effort  On the other hand longterm investing gives you a hasslefree experience Once you selected the fundamentally strong stocks you can choose to stay relaxed You just need to periodically check their performance    Higher returns due to compounding Compounding which was called the eighth wonder of the world by Albert Einstein has phenomenal power This element enters into the game of longterm investing if dividends and stock returns over time are reinvested The larger the investment horizon the higher the power of compounding and vice versa  Suppose Harshit and Ronak and Meet invest Rs  on the same day in the same stock and earn the same interest of  All of them decided to stay invested for  years Harshit thought of withdrawing the interest every year whereas Ronak and Meet chose to reinvest the interest  Harshit who chose to withdraw the interest every year would receive Rs  at the end of  years Whereas Ronak and Meet would receive Rs   at the end of  years  Now Meet wants to stay invested for further  years and wants to keep reinvesting the interest At the end of his  years of investment he would receive Rs  even with the same rate of interest This shows the real power of compounding    No burden of timing the market Shortterm investing requires a trader to time the market The practice of timing the market can make huge money on the one hand the investors may end up losing huge on the other due to wrong anticipation Due to the fact that the Future is uncertain predicting the market exactly is impossible  If you are a longterm investor you can be free of the stress of predicting future price movements and taking entry and exit decisions frequently    Negligible impact of shortterm fluctuations Price fluctuation is inherently in the nature of the stock market This tends to bring in human emotions and investors may end up taking wrong decisions looking at such fluctuations The recent Russia vs Ukraine crisis is one example Volatility which is a big part of the picture of shortterm investing is a very small part of longterm investing The large picture of longterm investing allows investors to avoid such shortterm fluctuations   Points to take care of when invested for the long term Following are the points you should take care of while invested for the long term   Keeping yourself updated about the news is not bad but taking entry or exiting from funds on such shortterm news can impact your longterm investment  Do not expect to get your return doubled in a very short span of a month or even a year  Do not think of beating the benchmarks in terms of return all the time If you are investing with discipline and consistency beating the benchmark would be of little account in the long term  Do not make any decision with emotional bias or intuition Rely more on data than anything else  To sum up longterm investing is a key to unlocking huge potential returns Though longterm investing is the plant that you do not need to water daily but taking care of it periodically is important   Disclaimer Recommendations suggestions views and opinions given by the experts are their own These do not represent the views of Economic Times  Disclaimer The opinions expressed in this column are that of the writer The facts and opinions expressed here do not reflect the views of wwweconomictimescomT
negative,AgenciesThe hawkish message is likely to be driven home this week by a host of Fed speakers and minutes of the last policy meeting due on WednesdaySYDNEY Asian shares got off to a sluggish start on Tuesday after a rally on Wall Street was soured by an early slide in US stock futures while the euro was near onemonth highs as odds narrowed on a July rate rise by the ECB   After ending Monday firmer Nasdaq futures lost  with traders blaming an earnings warning from Snap which saw shares in the Snapchat owner tumble    SP  futures also lost  surrendering some of Mondays  bounce   MSCIs broadest index of AsiaPacific shares outside Japan was left almost flat as a result while Japans Nikkei dipped    Markets have taken some comfort from US President Joe Bidens comment that he was considering easing sanctions on China and from Beijings ongoing promises of stimulus   Unfortunately Chinas zeroCOVID policy with attendant lockdowns has already done considerable economic damage    Following disappointing April activity data we have downgraded our China GDP gross domestic product forecast again and now look for Q GDP to contract  annualised previously  warned analysts at JPMorgan   Our Q global growth forecast stands at just  annualised rate easily the weakest quarter since the global financial crisis outside of     Early surveys of European and US manufacturing purchasing managers for May are due out later on Tuesday and could show some slowing in what has been a resilient sector of the global economy   Analysts have also been trimming forecasts for the United States given the Federal Reserve seems certain to hike interest rates by a full percentage point over the next two months   The hawkish message is likely to be driven home this week by a host of Fed speakers and minutes of the last policy meeting due on Wednesday   Yet the European Central Bank is also turning more hawkish with President Christine Lagarde surprising many by opening the door for a rate rise as early as July   That saw the euro up at  having bounced  overnight in its best session since early March It now faces stiff chart resistance around    The dollar also retreated versus sterling and a range of currencies taking the dollar index down  overnight and back to    Meanwhile the euro jumped sharply to  Japanese yen while the dollar held steady at  yen   The pullback in the dollar helped gold regain some ground to  an ounce GOL   Oil prices were caught between worries over a possible global downturn and the prospect of higher fuel demand from the US summer driving season and Shanghais plans to reopen after a twomonth coronavirus lockdown OR   US crude was down  cents at  while Brent lost  cents to    T
negative,Rakesh Gangwal cofounder of IndiGo has asked Citigroup Goldman Sachs Morgan Stanley and JP Morgan to manage the planned sale of his shares in the airline banking sources told ET  He may sell at least  of his familys shareholding in Indias biggest air carrier this year they added   Gangwal his wife Shobha and their family trust together hold  stake in InterGlobe Aviation the parent entity of IndiGo whose market capitalisation touched  crore as of market close on Tuesday Their combined stake could be worth as much as  crore   Management Churn on Since Feb   Meanwhile longtime suitor Qatar Airways is also believed to have wooed Gangwal for a substantial stake according to market participants  Gangwal stepped down from InterGlobe Aviations board in midFebruary and said he would sell his stake over five years   The selloff sources said is intended to take advantage of an upswing in the aviation sector following the lows of the Covid pandemic     Late last year IndiGos shareholders approved a change in the companys Articles of Association enabling Gangwal to sell his holding without cofounder Rahul Bhatias approval  Gangwal and Bhatia had been locked in a bitter legal feud for the past several years over allegations of misuse of power and relatedparty transactions Gangwal once a handson promoter had refused to participate in key purchase decisions in  and subsequently took a backseat on all operational aspects till he stepped down in February Bhatia took over as managing director the same month  Since then there has been a management churn at the airline  On Monday IndiGo announced the appointment of former bureaucrat RK Singh as principal advisor to the managing director Singh was a joint secretary in the ministry of civil aviation and has served on the boards of Air India Indian Airlines Alliance Air and Air India Charters Ltd Air India Express    Another Exec to Exit Soon  IndiGos chief commercial officer Willy Boulter will also leave in July marking the second toplevel exit this year after chief financial officer Jiten Chopra was replaced by senior vice president Gaurav Negi last Wednesday IndiGo shares ended about  lower at  apiece on the BSE Tuesday
negative,AgenciesMazhar Mohammad of Chartviewindiain said technical indicators are turning mixed as the weekly MACD chart has generated a buy signal giving an edge to the bullsShares of Ambuja Cements Ltd slipped  per cent to Rs  in Mondays trade as of PM IST The stock hit a high price of Rs  and low of Rs  during the session    The return on equity ROE for the stock stood at  per cent Traded volume on the counter stood at PM shares and turnover at Rs  crore around that time The stock of Ambuja Cements Ltd quoted a week high price of Rs  and week low prices of Rs  respectively    The stocks Beta value which measures its volatility in relation to the broader market stood at   ETMarkets Smart Talk Indias investable landscape wider than other EMs despite premium valuations Piyush Sharma  PromotorFII Holding  Promoters held  per cent stake in the company as of Mar while overseas investors held  per cent and domestic institutional investors had  per cent    Key Financials   The company reported consolidated sales of Rs  crore for the quarter ended Dec up  per cent from previous quarters Rs  crore and up  per cent from the yearago quarters Rs  crore Net profit after tax for the latest quarter stood at Rs  crore down  per cent from the same quarter a year ago    Technicals The MACD signalled a bullish bias on the counter The MACD is known for signalling trend reversals in traded securities or indices   It is the difference between the day and day exponential moving averages A nineday exponential moving average called the signal line is plotted on topof the MACD to reflect buy or sell opportunities When the MACD crosses below the signal line it gives a bearish signal indicating that the price of the security may see a downward movement and vice vers
