numbers,lottery,accident,mishap,luck,condition,state,administrative_district,district,region,location,object,physical_entity,entity,entity,entity
romance,relationship,relation,abstraction,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group,abstraction
comedy,drama,dramatic_composition,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity
espionage,spying,watch,timepiece,measuring_instrument,instrument,device,instrumentality,unit,definite_quantity,measure,maneuver,operation,action,act,legal_document
ho,metallic_element,chemical_element,substance,matter,concern,interest,curiosity,cognitive_state,psychological_state,condition,state,administrative_district,district,region,location
hum,action,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts
point,component,part,relation,abstraction,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group
viewer,perceiver,person,causal_agent,physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
supposed,speculate,expect,evaluate,evaluate,evaluate,evaluate,evaluate,evaluate,evaluate,evaluate,evaluate,evaluate,evaluate,evaluate,evaluate
give,elasticity,physical_property,property,possession,control,power,quality,attribute,concept,idea,content,collection,group,abstraction,concept
damn,worthlessness,quality,attribute,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group,abstraction
disaster,adversity,misfortune,trouble,difficulty,effort,activity,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act
wavers,communicator,person,causal_agent,physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
tone,manner_of_speaking,expressive_style,communication,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document,writing
never,never,never,never,never,never,never,never,never,never,never,never,never,never,never,never
decides,end,extremity,external_body_part,body_part,part,relation,abstraction,concept,idea,content,collection,group,abstraction,concept,idea
wants,poverty,financial_condition,condition,state,administrative_district,district,region,location,object,physical_entity,entity,entity,entity,entity,entity
be,metallic_element,chemical_element,substance,matter,concern,interest,curiosity,cognitive_state,psychological_state,condition,state,administrative_district,district,region,location
apparently,apparently,apparently,apparently,apparently,apparently,apparently,apparently,apparently,apparently,apparently,apparently,apparently,apparently,apparently,apparently
thinks,deliberation,discussion,communication,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document,writing
spoof,caricature,wit,message,communication,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document
pathetically,pathetically,pathetically,pathetically,pathetically,pathetically,pathetically,pathetically,pathetically,pathetically,pathetically,pathetically,pathetically,pathetically,pathetically,pathetically
grindingly,grindingly,grindingly,grindingly,grindingly,grindingly,grindingly,grindingly,grindingly,grindingly,grindingly,grindingly,grindingly,grindingly,grindingly,grindingly
square,rectangle,parallelogram,quadrilateral,polygon,plane_figure,figure,illustration,artwork,visual_communication,communication,act,legal_document,document,writing,verbal_creation
Old,past,time,case,happening,event,psychological_feature,abstraction,concept,idea,content,collection,group,abstraction,concept,idea
fashioned,make,kind,category,collection,group,abstraction,concept,idea,content,collection,group,abstraction,concept,idea,content
worst,result,phenomenon,process,activity,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document
sense,awareness,knowing,higher_cognitive_process,process,activity,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document
audiences,gathering,social_group,group,abstraction,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group
understandably,understandably,understandably,understandably,understandably,understandably,understandably,understandably,understandably,understandably,understandably,understandably,understandably,understandably,understandably,understandably
stayed,be,metallic_element,chemical_element,substance,matter,concern,interest,curiosity,cognitive_state,psychological_state,condition,state,administrative_district,district,region
droves,animal_group,biological_group,group,abstraction,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group
It's,It's,It's,It's,It's,It's,It's,It's,It's,It's,It's,It's,It's,It's,It's,It's
awful,awful,awful,awful,awful,awful,awful,awful,awful,awful,awful,awful,awful,awful,awful,awful
James,crowd,gathering,social_group,group,abstraction,concept,idea,content,collection,group,abstraction,concept,idea,content,collection
Garner,storehouse,depository,facility,artifact,whole,concept,idea,content,collection,group,abstraction,concept,idea,content,collection
vast,vast,vast,vast,vast,vast,vast,vast,vast,vast,vast,vast,vast,vast,vast,vast
improvement,transformation,change,happening,event,psychological_feature,abstraction,concept,idea,content,collection,group,abstraction,concept,idea,content
Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson
cardboard,packing_material,material,substance,matter,concern,interest,curiosity,cognitive_state,psychological_state,condition,state,administrative_district,district,region,location
connect,think,deliberation,discussion,communication,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document
Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews
vice,evil,transgression,wrongdoing,evil,transgression,wrongdoing,evil,transgression,wrongdoing,evil,transgression,wrongdoing,evil,transgression,wrongdoing
versa,versa,versa,versa,versa,versa,versa,versa,versa,versa,versa,versa,versa,versa,versa,versa
Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews,Andrews
Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson,Hudson
seem,be,metallic_element,chemical_element,substance,matter,concern,interest,curiosity,cognitive_state,psychological_state,condition,state,administrative_district,district,region
let,serve,tennis_stroke,stroke,maneuver,operation,action,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act
joke,wit,message,communication,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document,writing
perform,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation
miscalculated,misjudge,err,travel,motion,visual_communication,communication,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act
earnestness,gravity,attraction,force,influence,power,quality,attribute,concept,idea,content,collection,group,abstraction,concept,idea
Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake,Blake
Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards',Edwards'
SOB,dyspnea,symptom,evidence,information,message,communication,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act
much,large_indefinite_quantity,indefinite_quantity,measure,maneuver,operation,action,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act
OK,sanction,approval,support,activity,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document
good,advantage,asset,quality,attribute,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group
ever,ever,ever,ever,ever,ever,ever,ever,ever,ever,ever,ever,ever,ever,ever,ever
came,travel,motion,visual_communication,communication,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document,document
Darling,lover,person,causal_agent,physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili
expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive,expensive
professional,adult,person,causal_agent,physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
look,countenance,appearance,quality,attribute,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group
much,large_indefinite_quantity,indefinite_quantity,measure,maneuver,operation,action,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act
Darling,lover,person,causal_agent,physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili,Lili
make,kind,category,collection,group,abstraction,concept,idea,content,collection,group,abstraction,concept,idea,content,collection
lavished,consume,eat,consume,eat,consume,eat,consume,eat,consume,eat,consume,eat,consume,eat,consume
even,day,time_unit,measure,maneuver,operation,action,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act
difficult,difficult,difficult,difficult,difficult,difficult,difficult,difficult,difficult,difficult,difficult,difficult,difficult,difficult,difficult,difficult
bear,carnivore,placental,mammal,vertebrate,chordate,animal,organism,living_thing,whole,concept,idea,content,collection,group,abstraction
quote,punctuation,interruption,delay,pause,time_interval,measure,maneuver,operation,action,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts
Paramount,Paramount,Paramount,Paramount,Paramount,Paramount,Paramount,Paramount,Paramount,Paramount,Paramount,Paramount,Paramount,Paramount,Paramount,Paramount
chief,leader,person,causal_agent,physical_entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity,entity
Robert,Robert,Robert,Robert,Robert,Robert,Robert,Robert,Robert,Robert,Robert,Robert,Robert,Robert,Robert,Robert
Evans,Evans,Evans,Evans,Evans,Evans,Evans,Evans,Evans,Evans,Evans,Evans,Evans,Evans,Evans,Evans
"""24","""24","""24","""24","""24","""24","""24","""24","""24","""24","""24","""24","""24","""24","""24","""24"
dollars,monetary_unit,unit_of_measurement,definite_quantity,measure,maneuver,operation,action,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity
worth,indefinite_quantity,measure,maneuver,operation,action,act,legal_document,document,writing,verbal_creation,creating_by_mental_acts,creation,activity,act,legal_document
film,product,commodity,artifact,whole,concept,idea,content,collection,group,abstraction,concept,idea,content,collection,group
"picture""","picture""","picture""","picture""","picture""","picture""","picture""","picture""","picture""","picture""","picture""","picture""","picture""","picture""","picture""","picture"""
